node_id,lon,lat,built,fast,slow,total
49896,114.1372485,22.25344052,True,3,21,24
50878,114.0030613,22.4507494,False,0,0,0
37824,114.1643176,22.31421716,True,9,20,29
45473,114.1023454,22.37119543,False,0,0,0
33469,114.2132119,22.30636489,False,0,0,0
50529,114.2342169,22.29425262,True,8,23,31
31098,114.1317045,22.37878908,True,3,18,21
5878,114.1531645,22.48131728,False,0,0,0
4322,114.1191335,22.2735914,True,19,25,44
16818,114.2154235,22.32461089,False,0,0,0
44570,114.2075054,22.34395541,False,0,0,0
12694,114.1960399,22.38737024,False,0,0,0
15911,114.1174212,22.43359981,True,3,23,26
19535,113.9989502,22.43760831,True,10,9,19
34554,113.9467554,22.29534468,True,19,14,33
10665,113.898762,22.3040787,False,0,0,0
18233,114.0200808,22.44641956,True,8,15,23
17223,114.1710763,22.31958778,True,15,15,30
38968,114.2111098,22.28586844,True,3,10,13
42962,113.9642989,22.40544027,True,11,9,20
48008,114.2232713,22.28307936,True,21,3,24
48738,114.0003988,22.37360352,False,0,0,0
15079,114.1031818,22.43191582,True,22,15,37
43857,113.9685928,22.37506972,False,0,0,0
5320,113.9990195,22.45708476,False,0,0,0
9149,114.164309,22.45469604,False,0,0,0
22619,114.0593027,22.36703887,False,0,0,0
47299,114.0280745,22.33296918,True,17,4,21
26721,114.1643861,22.31864578,True,11,14,25
800,114.1548616,22.24147823,True,19,12,31
40727,114.1600455,22.28144357,True,25,25,50
29207,114.1920307,22.31882797,False,0,0,0
50587,114.15731,22.30100257,True,20,5,25
37611,114.2074456,22.31260862,True,11,12,23
10123,114.1235786,22.50698059,True,3,20,23
4278,114.1925515,22.25742988,True,3,6,9
564,114.1401536,22.28109347,True,3,17,20
40102,114.1956543,22.28468095,False,0,0,0
6955,114.1549208,22.28053884,True,21,21,42
46576,114.1343217,22.28713033,False,0,0,0
806,114.2508729,22.23077558,False,0,0,0
33788,114.2658922,22.42704069,True,3,15,18
758,114.1391488,22.25754745,True,18,11,29
31015,114.2364047,22.3085821,True,4,15,19
16615,114.2612011,22.30784273,False,0,0,0
4502,114.2201522,22.31893623,False,0,0,0
47701,114.1921651,22.31728444,True,23,5,28
27715,114.2066907,22.33676669,True,19,22,41
23931,114.1156803,22.36997975,True,3,17,20
6137,114.1175321,22.37095295,True,18,22,40
36481,114.2037875,22.33809069,False,0,0,0
40328,114.0322609,22.44294083,False,0,0,0
21318,113.9649602,22.37339057,True,17,11,28
47049,114.1684116,22.32197197,True,15,23,38
31250,113.9770081,22.41428191,True,11,3,14
47380,114.1268343,22.50408087,False,0,0,0
41492,114.0009687,22.46844763,True,17,14,31
10634,114.2644823,22.38246491,True,21,4,25
